iter	RMSE
0	3517.30812
1	3220.612939
2	2952.723267
3	2713.446982
4	2499.794038
5	2310.371984
6	2143.832258
7	1996.229072
8	1866.840192
9	1752.282157
10	1651.608222
11	1562.669016
12	1483.241731
13	1415.685913
14	1355.876497
15	1305.005448
16	1258.391202
17	1220.16774
18	1187.696368
19	1158.970149
20	1128.646194
21	1106.02822
22	1081.316886
23	1060.195272
24	1044.360858
25	1027.419145
26	1003.789491
27	984.0420286
28	967.3268845
29	952.8528493
30	940.0161586
31	927.8200293
32	917.7265431
33	908.7702732
34	900.3139917
35	892.019947
36	885.6017567
37	879.1881716
38	872.6886256
39	867.3477105
40	861.698411
41	856.6439181
42	849.3640591
43	839.1335427
44	830.1886975
45	824.071049
46	819.0472535
47	808.6010183
48	802.1585301
49	798.8457052
50	794.786481
51	791.7405926
52	788.6942171
53	785.9500441
54	782.3037002
55	779.0412314
56	776.599497
57	774.4649872
58	772.0122198
59	769.5325242
60	767.5250654
61	763.6077809
62	759.8466107
63	757.9753107
64	755.7172939
65	753.9845479
66	752.318564
67	750.3972713
68	746.3761523
69	743.8546893
70	741.6393565
71	740.1510292
72	734.7845707
73	728.9103331
74	727.7491913
75	726.4595463
76	724.6640628
77	722.6572679
78	719.345223
79	717.9067826
80	715.3866002
81	714.1851662
82	710.3548726
83	706.7272263
84	705.6041771
85	704.0538003
86	702.7374134
87	698.5422631
88	695.6738544
89	690.3287973
90	689.3687163
91	686.1433015
92	684.0318825
93	681.9073528
94	681.0175453
95	679.9538672
96	678.9119428
97	676.8753877
98	674.599315
99	670.9490161
