iter	Passed	Remaining
0	341	33775
1	632	31008
2	961	31100
3	1213	29134
4	1482	28170
5	1729	27096
6	1968	26147
7	2248	25858
8	2501	25289
9	2749	24745
10	2968	24014
11	3214	23574
12	3484	23319
13	3734	22938
14	3971	22507
15	4210	22106
16	4458	21770
17	4724	21522
18	4980	21233
19	5234	20937
20	5480	20616
21	5703	20220
22	5954	19933
23	6182	19577
24	6409	19227
25	6672	18991
26	6928	18733
27	7187	18481
28	7435	18203
29	7671	17901
30	7912	17612
31	8153	17326
32	8418	17091
33	8653	16797
34	8904	16536
35	9123	16219
36	9397	16001
37	9707	15838
38	10020	15673
39	10270	15406
40	10497	15105
41	10729	14817
42	10967	14538
43	11194	14246
44	11412	13949
45	11630	13653
46	11850	13362
47	12091	13098
48	12325	12828
49	12542	12542
50	12765	12264
51	12980	11981
52	13208	11713
53	13443	11451
54	13660	11176
55	13877	10903
56	14109	10643
57	14331	10378
58	14562	10119
59	14778	9852
60	15002	9591
61	15222	9330
62	15451	9074
63	15686	8823
64	15918	8571
65	16137	8313
66	16359	8057
67	16575	7800
68	16813	7553
69	17048	7306
70	17274	7055
71	17509	6809
72	17732	6558
73	17958	6309
74	18197	6065
75	18422	5817
76	18636	5566
77	18851	5317
78	19072	5069
79	19325	4831
80	19558	4587
81	19794	4345
82	20012	4098
83	20229	3853
84	20467	3611
85	20694	3368
86	20924	3126
87	21153	2884
88	21373	2641
89	21614	2401
90	21841	2160
91	22072	1919
92	22296	1678
93	22542	1438
94	22775	1198
95	23010	958
96	23226	718
97	23445	478
98	23672	239
99	23902	0
